;Day;open;high;low;close;adjusted close;volume;dividend amount;split coefficient
2021-05-17;Monday;2309.32;2323.34;2295.0;2321.41;2321.41;992416;0.0;1.0
2021-05-18;Tuesday;2336.9056;2343.15;2303.16;2303.43;2303.43;865119;0.0;1.0
2021-05-19;Wednesday;2264.4;2316.76;2263.52;2308.71;2308.71;967544;0.0;1.0
2021-05-20;Thursday;2328.04;2360.34;2321.09;2356.09;2356.09;1191593;0.0;1.0
2021-05-21;Friday;2365.99;2368.9999;2342.37;2345.1;2345.1;1141632;0.0;1.0
2021-05-24;Monday;2367.0;2418.48;2360.11;2406.67;2406.67;1062189;0.0;1.0
2021-05-25;Tuesday;2420.0;2432.89;2402.99;2409.07;2409.07;941928;0.0;1.0
2021-05-26;Wednesday;2412.835;2442.944;2412.515;2433.53;2433.53;1092819;0.0;1.0
2021-05-27;Thursday;2436.94;2440.0;2402.0;2402.51;2402.51;1948113;0.0;1.0
2021-05-28;Friday;2421.96;2428.14;2407.69;2411.56;2411.56;1205382;0.0;1.0
2021-06-01;Tuesday;2422.0;2437.9709;2404.88;2429.81;2429.81;958289;0.0;1.0
2021-06-02;Wednesday;2435.31;2442.0;2404.2;2421.28;2421.28;858105;0.0;1.0
2021-06-03;Thursday;2395.02;2409.745;2382.83;2404.61;2404.61;917291;0.0;1.0
2021-06-04;Friday;2422.52;2453.859;2417.77;2451.76;2451.76;1297434;0.0;1.0
2021-06-07;Monday;2451.32;2468.0;2441.0725;2466.09;2466.09;1192453;0.0;1.0
2021-06-08;Tuesday;2479.9;2494.495;2468.24;2482.85;2482.85;1253253;0.0;1.0
2021-06-09;Wednesday;2499.5;2505.0;2487.33;2491.4;2491.4;1006337;0.0;1.0
2021-06-10;Thursday;2494.01;2523.26;2494.0;2521.6;2521.6;1561733;0.0;1.0
2021-06-11;Friday;2524.92;2526.99;2498.29;2513.93;2513.93;1262309;0.0;1.0
2021-06-14;Monday;2513.39;2528.23;2500.94;2527.04;2527.04;1127522;0.0;1.0
2021-06-15;Tuesday;2530.44;2537.24;2512.97;2520.66;2520.66;1109130;0.0;1.0
2021-06-16;Wednesday;2524.95;2530.47;2482.9994;2513.93;2513.93;1307168;0.0;1.0
2021-06-17;Thursday;2510.46;2543.93;2510.3;2527.42;2527.42;1287791;0.0;1.0
2021-06-18;Friday;2514.11;2527.78;2492.06;2511.35;2511.35;2665310;0.0;1.0
2021-06-21;Monday;2514.8;2540.7349;2502.685;2529.1;2529.1;1312826;0.0;1.0
2021-06-22;Tuesday;2529.0;2545.4;2520.53;2539.99;2539.99;1049310;0.0;1.0
2021-06-23;Wednesday;2531.0;2555.92;2525.04;2529.23;2529.23;984658;0.0;1.0
2021-06-24;Thursday;2541.07;2550.71;2539.2;2545.64;2545.64;946662;0.0;1.0
2021-06-25;Friday;2539.14;2550.1;2528.88;2539.9;2539.9;1674297;0.0;1.0
2021-06-28;Monday;2540.0;2546.74;2519.4756;2536.39;2536.39;1405543;0.0;1.0
2021-06-29;Tuesday;2535.45;2540.0;2508.74;2520.37;2520.37;1047478;0.0;1.0
2021-06-30;Wednesday;2513.0713;2516.0;2495.15;2506.32;2506.32;1200478;0.0;1.0
2021-07-01;Thursday;2496.995;2529.25;2496.995;2527.37;2527.37;856230;0.0;1.0
2021-07-02;Friday;2536.79;2576.96;2535.38;2574.38;2574.38;1058256;0.0;1.0
2021-07-06;Tuesday;2588.99;2597.69;2568.18;2595.42;2595.42;1067517;0.0;1.0
2021-07-07;Wednesday;2606.82;2612.7983;2595.2;2601.55;2601.55;834186;0.0;1.0
2021-07-08;Thursday;2565.0;2600.65;2560.8;2583.54;2583.54;988975;0.0;1.0
2021-07-09;Friday;2578.89;2596.99;2578.87;2591.49;2591.49;755466;0.0;1.0
2021-07-12;Monday;2596.67;2615.4;2592.0;2611.28;2611.28;847546;0.0;1.0
2021-07-13;Tuesday;2617.63;2640.8399;2612.74;2619.89;2619.89;830898;0.0;1.0
2021-07-14;Wednesday;2638.03;2659.9199;2637.96;2641.65;2641.65;895927;0.0;1.0
2021-07-15;Thursday;2650.0;2651.9;2611.96;2625.33;2625.33;829316;0.0;1.0
2021-07-16;Friday;2632.82;2643.66;2616.43;2636.91;2636.91;743059;0.0;1.0
2021-07-19;Monday;2623.11;2624.94;2570.74;2585.08;2585.08;1285466;0.0;1.0
2021-07-20;Tuesday;2600.08;2640.0271;2583.7675;2622.03;2622.03;954156;0.0;1.0
2021-07-21;Wednesday;2615.74;2652.345;2612.03;2652.01;2652.01;737082;0.0;1.0
2021-07-22;Thursday;2653.0;2670.09;2648.0;2666.57;2666.57;680407;0.0;1.0
2021-07-23;Friday;2705.2;2776.17;2694.01;2756.32;2756.32;1318887;0.0;1.0
2021-07-26;Monday;2765.0;2794.26;2753.0201;2792.89;2792.89;1152623;0.0;1.0
2021-07-27;Tuesday;2800.22;2800.22;2702.0;2735.93;2735.93;2108153;0.0;1.0
2021-07-28;Wednesday;2771.24;2793.52;2727.0;2727.63;2727.63;2734417;0.0;1.0
2021-07-29;Thursday;2727.612;2743.03;2722.76;2730.81;2730.81;948565;0.0;1.0
2021-07-30;Friday;2710.22;2715.4273;2696.284;2704.42;2704.42;1197725;0.0;1.0
2021-08-02;Monday;2709.69;2720.41;2693.39;2719.79;2719.79;1007002;0.0;1.0
2021-08-03;Tuesday;2720.0;2726.71;2683.67;2725.6;2725.6;953200;0.0;1.0
2021-08-04;Wednesday;2724.99;2730.76;2708.3;2720.57;2720.57;826357;0.0;1.0
2021-08-05;Thursday;2720.57;2739.0;2712.0;2738.8;2738.8;593589;0.0;1.0
2021-08-06;Friday;2725.9;2741.6009;2720.93;2740.72;2740.72;678251;0.0;1.0
2021-08-09;Monday;2738.98;2766.43;2728.575;2760.04;2760.04;618978;0.0;1.0
2021-08-10;Tuesday;2761.59;2771.03;2744.53;2761.93;2761.93;801954;0.0;1.0
2021-08-11;Wednesday;2765.66;2776.955;2747.0;2753.79;2753.79;760483;0.0;1.0
2021-08-12;Thursday;2754.26;2768.36;2735.58;2767.79;2767.79;732470;0.0;1.0
2021-08-13;Friday;2767.15;2773.48;2760.1;2768.12;2768.12;626348;0.0;1.0
2021-08-16;Monday;2760.0;2779.81;2723.315;2778.32;2778.32;902542;0.0;1.0
2021-08-17;Tuesday;2763.82;2774.37;2735.75;2746.01;2746.01;1063701;0.0;1.0
2021-08-18;Wednesday;2742.31;2765.88;2728.42;2731.4;2731.4;746723;0.0;1.0
2021-08-19;Thursday;2709.35;2749.04;2707.12;2738.27;2738.27;914796;0.0;1.0
2021-08-20;Friday;2741.66;2772.29;2729.34;2768.74;2768.74;778337;0.0;1.0
2021-08-23;Monday;2779.97;2843.5399;2774.9586;2821.99;2821.99;1054484;0.0;1.0
2021-08-24;Tuesday;2830.87;2860.15;2827.07;2847.97;2847.97;756313;0.0;1.0
2021-08-25;Wednesday;2857.66;2866.26;2848.79;2859.0;2859.0;642153;0.0;1.0
2021-08-26;Thursday;2852.37;2862.696;2841.83;2842.46;2842.46;746100;0.0;1.0
2021-08-27;Friday;2842.25;2900.22;2840.4;2891.01;2891.01;1228412;0.0;1.0
2021-08-30;Monday;2894.09;2929.7899;2892.0;2909.39;2909.39;845795;0.0;1.0
2021-08-31;Tuesday;2917.69;2922.24;2900.0;2909.24;2909.24;1337821;0.0;1.0
2021-09-01;Wednesday;2913.0;2936.4099;2912.29;2916.84;2916.84;791234;0.0;1.0
2021-09-02;Thursday;2918.99;2926.5;2882.13;2884.38;2884.38;1092790;0.0;1.0
2021-09-03;Friday;2882.92;2907.54;2870.1;2895.5;2895.5;955524;0.0;1.0
2021-09-07;Tuesday;2894.99;2916.48;2890.82;2910.38;2910.38;758630;0.0;1.0
2021-09-08;Wednesday;2907.87;2911.02;2884.0;2897.67;2897.67;774583;0.0;1.0
2021-09-09;Thursday;2897.67;2913.39;2888.68;2898.27;2898.27;739928;0.0;1.0
2021-09-10;Friday;2908.87;2920.38;2834.83;2838.42;2838.42;1644831;0.0;1.0
2021-09-13;Monday;2864.02;2883.82;2845.65;2869.3;2869.3;1008781;0.0;1.0
2021-09-14;Tuesday;2883.22;2894.55;2858.11;2868.12;2868.12;945957;0.0;1.0
2021-09-15;Wednesday;2875.18;2911.63;2845.12;2904.12;2904.12;1032671;0.0;1.0
2021-09-16;Thursday;2902.42;2904.0;2868.3272;2887.47;2887.47;1014942;0.0;1.0
